case_seed, iteration, entropy, p01, p10, bias, scc, noxor_h_orig, err, percent_err, alg_idx, algorithm
097710dc664e649bc0834e757a82e4be8f78512d8cc1094d24d841aa2a4cf153, 95, 0.025000, 0.162834, 0.017578, 0.902567, 0.819588, 0.015882, -0.009118, 36.472000, 3, tCompression Test Estimate
0e063b790bcab9660e0c1773cfdafecd197f94b4505aa823fe13133a96f1c949, 96, 0.025000, 0.017578, 0.643542, 0.026588, 0.338879, 0.016595, -0.008405, 33.620000, 3, tCompression Test Estimate
0dab7d83f22b7939b902e28344af7a7c827fca7e13c7b855195c5e05a0033028, 97, 0.025000, 0.016602, 0.053177, 0.237918, 0.930222, 0.016083, -0.008917, 35.668000, 3, tCompression Test Estimate
a22557a9a22861fe950b85495212886934883ab4d7f04b74d34b8811a2382b98, 98, 0.025000, 0.016602, 0.050216, 0.248461, 0.933182, 0.016244, -0.008756, 35.024000, 3, tCompression Test Estimate
2e19e8af79113264b946a40a2b92586e1587aa5ba452f15dee186d7e27786860, 99, 0.025000, 0.017578, 0.937894, 0.018397, 0.044528, 0.017145, -0.007855, 31.420000, 3, tCompression Test Estimate
db511e54a974ccd19ccb98efd626d67c2ccfdcab1cc0ec122721aa2a52f5ba5e, 100, 0.025000, 0.016602, 0.026643, 0.383898, 0.956755, 0.015893, -0.009107, 36.428000, 4, T-Tuple Test Estimate
fea9707cb2c3caaac506491b6444a63bcc2fbd5ad1de577a5378c0b71d3f6404, 101, 0.025000, 0.338350, 0.017578, 0.950613, 0.644071, 0.021071, -0.003929, 15.716000, 3, tCompression Test Estimate
6d5cebc077f95655a159ef23308b9471da9428ef8988c271472c09dfcbdb6ddf, 102, 0.025000, 0.027613, 0.016602, 0.624527, 0.955785, 0.016869, -0.008131, 32.524000, 3, tCompression Test Estimate
3e004d5ef22e6df9515ad4daf7117e45a2a0b4998d79adf89c94a5ab9cdcda91, 103, 0.025000, 0.017578, 0.192042, 0.083857, 0.790380, 0.015203, -0.009797, 39.188000, 3, tCompression Test Estimate
204060a53056e0a3ae1b62d18873a5286de1a5d08f7dbdf4bfdd58da07c06a17, 104, 0.025000, 0.764784, 0.017578, 0.977532, 0.217638, 0.012217, -0.012783, 51.132000, 4, T-Tuple Test Estimate
09e2c64c26dc13d5f190af874acf014a4e71187ec2365dadaade2ddcd523c673, 105, 0.025000, 0.017578, 0.260807, 0.063143, 0.721615, 0.012428, -0.012572, 50.288000, 4, T-Tuple Test Estimate
9d5f6f4cae1b7262cc1dbfa7d019487b3bba60011334994e3e72d23f35269001, 106, 0.025000, 0.140652, 0.017578, 0.888908, 0.841769, 0.020899, -0.004101, 16.404000, 4, T-Tuple Test Estimate
e92e4b054ecabd3b4273d7e3d921a9a35afd442c09ff3aeb07f010fe9a8d890f, 107, 0.025000, 0.795734, 0.017578, 0.978387, 0.186688, 0.021100, -0.003900, 15.600000, 4, T-Tuple Test Estimate
21b84019b7fe6e06734e5d655b55dd19b7b52a6f3542a651dcbfda3246e870e8, 108, 0.025000, 0.017578, 0.345218, 0.048452, 0.637204, 0.015567, -0.009433, 37.732000, 3, tCompression Test Estimate
f8c46374391485d4db8cb0d8da7af7a80c4eac00aa3dbd174e91457a0ac714e8, 109, 0.025000, 0.017578, 0.259030, 0.063549, 0.723392, 0.016986, -0.008014, 32.056000, 3, tCompression Test Estimate
456ee9e4ad746e1eaee139986e05268ba8cad2fcbb240657b0f07f17007e8d04, 110, 0.025000, 0.019214, 0.015625, 0.551511, 0.965161, 0.018117, -0.006883, 27.532000, 4, T-Tuple Test Estimate
d9dab7fc1d3545af8d3cbcc441535093db8c5b6ed458752a49cf9e260a515fae, 111, 0.025000, 0.750312, 0.017578, 0.977109, 0.232110, 0.014920, -0.010080, 40.320000, 4, T-Tuple Test Estimate
8a78a7fcc8865b1c11a5282c44f9dd4d4bab14a0ec0f9613391893832f4f6397, 112, 0.025000, 0.017578, 0.145708, 0.107652, 0.836714, 0.016823, -0.008177, 32.708000, 3, tCompression Test Estimate
550a43af37302559841526cb72fc4636b5652f4be7c6d7684add5beefe30346d, 113, 0.025000, 0.017578, 0.267077, 0.061752, 0.715345, 0.017742, -0.007258, 29.032000, 3, tCompression Test Estimate
1efbbed87380c9e3d9399b03ee0316424bb58fc1562111d87642679207c653e0, 114, 0.025000, 0.017578, 0.623253, 0.027430, 0.359169, 0.012511, -0.012489, 49.956000, 4, T-Tuple Test Estimate
35239995a4d127286cafe2a1d15f6fb599cfd5108753d9e636d0216ff836a3be, 115, 0.025000, 0.017578, 0.632196, 0.027053, 0.350226, 0.020623, -0.004377, 17.508000, 3, tCompression Test Estimate
afdea31058ec9a934ae83ca6893146b1fdf81ba7bd3b29a60817e34208e33d56, 116, 0.025000, 0.017578, 0.336027, 0.049711, 0.646395, 0.011679, -0.013321, 53.284000, 4, T-Tuple Test Estimate
c89f6d4deafc8931fa84c53c9a01f4f4ba0cbc901d0e4d1e21b115320088ef0f, 117, 0.025000, 0.803079, 0.017578, 0.978580, 0.179343, 0.015872, -0.009128, 36.512000, 3, tCompression Test Estimate
e6606857007dc840c291d9ceec2fcd166f8724c0712371afbc0f88091ce1e19b, 118, 0.025000, 0.017578, 0.871842, 0.019764, 0.110580, 0.017381, -0.007619, 30.476000, 4, T-Tuple Test Estimate
da1fc1ecc91b86ef5f5c8b421adc18e0b66d0d233b2e50659d2ac597bc25ac69, 119, 0.025000, 0.302475, 0.017578, 0.945078, 0.679947, 0.020241, -0.004759, 19.036000, 3, tCompression Test Estimate
498e9e824b968585546f3dbdc2de53a5ff2490850119f69420ef866afbb9c76a, 120, 0.025000, 0.402662, 0.017578, 0.958171, 0.579760, 0.015259, -0.009741, 38.964000, 3, tCompression Test Estimate
fe97150eff9cbee16ea20fb9685a3f6fbfa6e1b9e7f08e7cc5337b0cdd1f9621, 121, 0.025000, 0.017578, 0.914480, 0.018859, 0.067942, 0.016944, -0.008056, 32.224000, 3, tCompression Test Estimate
f3812102ccca3e75827c5f9d72516bd5c3eb8c7203b9652711e483e4dc8e7164, 122, 0.025000, 0.016602, 0.100022, 0.142351, 0.883376, 0.021047, -0.003953, 15.812000, 3, tCompression Test Estimate
0e7f0e69dcfa45d98239a497ba2fe6b008ca5ce6a463f236938936bb160d7373, 123, 0.025000, 0.786921, 0.017578, 0.978150, 0.195501, 0.015385, -0.009615, 38.460000, 3, tCompression Test Estimate
f3f9ed803edf872053139bd812b1e1dfa4c932007117b534aef99061fe1b0328, 124, 0.025000, 0.725560, 0.017578, 0.976346, 0.256861, 0.016587, -0.008413, 33.652000, 3, tCompression Test Estimate
7a1cb1f8a3827ce799b17306748315b943457afd053cd68a1c2460a6719935fa, 125, 0.025000, 0.121210, 0.017578, 0.873345, 0.861212, 0.021105, -0.003895, 15.580000, 3, tCompression Test Estimate
03ec08e3c77afdd815e4c405561125d70ff3f8d84b3ead687ed227e9c525d387, 126, 0.025000, 0.017578, 0.745560, 0.023034, 0.236862, 0.016795, -0.008205, 32.820000, 4, T-Tuple Test Estimate
